State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,Area (in ha),TOT_P,Urb_Under_MC/VP,Class,VP/MC,VP Area,VP Population,Forest Area (in Hectares),Area under Non-Agricultural Uses (in Hectares),Barren & Un-cultivable Land Area (in Hectares),Permanent Pastures and Other Grazing Land Area (in Hectares),Land Under Miscellaneous Tree Crops etc. Area (in Hectares),Culturable Waste Land Area (in Hectares),Fallows Land other than Current Fallows Area (in Hectares),Current Fallows Area (in Hectares),Net Area Sown (in Hectares),Total Unirrigated Land Area (in Hectares),Area Irrigated by Source (in Hectares),Canals Area (in Hectares),Wells/Tube Wells Area (in Hectares),Tanks/Lakes Area (in Hectares),Waterfall Area (in Hectares),Other Source (specify) Area (in Hectares)
30,585,5610,626681,0,0,VILLAGE,Ucassaim,Rural,263.65,1077,,D,Ucassaim Paliem Punola,469.04,3318,13.57,9.01,0,0,23.64,94.6,0,0,122.83,122.83,0,0,0,0,0,0
30,585,5609,626644,0,0,VILLAGE,Uguem,Rural,343.26,1133,,D,Tamboxern Mopa Uguem,1372.25,2806,0,47.46,0,0,0,78.42,0,0,217.38,198.35,19.03,0,0,0,0,19.03
30,586,5618,627003,0,0,VILLAGE,Uguem,Rural,1675,2557,,C,Uguem,6309,4733,256.5,291.2,0,0,0,465.1,0,0,662.2,650,12.2,0,2.2,0,0,10
30,586,5617,626944,0,0,VILLAGE,Undorna,Rural,526,176,,D,Molcornem,2373,2887,70,235.2,0,0,0,89.8,0,0,131,105,26,0,6,0,0,20
30,585,5613,626800,0,0,VILLAGE,Ustem,Rural,456.08,346,,D,Nagargaon,10172.57,4652,63.4,0.89,6.39,0,0,7.61,4.48,5.52,367.79,310,57.79,24,23.76,0,0,10.03
30,586,5616,626893,0,0,VILLAGE,Utorda,Rural,314,2018,,C,Majorda,917,6570,0,35,0,0,0,1.9,0,0,277.1,270.2,6.9,0,0,0,0,6.9
30,585,5614,626858,0,0,VILLAGE,Vadi,Rural,161.01,506,,D,Vadi-Telaulim,407.01,3060,0,0,0,0,0,38.62,0,59.59,62.8,56.3,6.5,0,6.5,0,0,0
30,585,5614,626851,0,0,VILLAGE,Vagurbem,Rural,358.87,527,,D,Savoi-Verem-Vagorbem,1287.49,3714,0,0,0,0,0,110.72,126.84,0,121.31,101.9,19.41,0,0,19.41,0,0
30,585,5613,626811,0,0,VILLAGE,Vaguriem,Rural,311.35,255,,D,Pissurlem,2247.46,3287,20.8,9.1,0,0,0,0,5,2.2,274.25,273.4,0.85,0.85,0,0,0,0
30,585,5612,626753,0,0,VILLAGE,Vainguinim,Rural,67.81,706,,D,Maem,2239.82,8717,0,0,12.87,8.61,2,0,0,0,44.33,42.33,2,0,0,2,0,0
30,585,5613,626798,0,0,VILLAGE,Vainguinim,Rural,888.77,32,,D,Nagargaon,10172.57,4652,856.78,0.2,2.35,0,0,0.94,3.38,1.68,23.44,20.54,2.9,1.89,0.45,0,0,0.56
30,586,5616,626898,0,0,VILLAGE,Vanelim,Rural,99,1860,,D,Colva,608,6987,0,3.4,0,0,0,0.3,0,0,95.3,90.5,4.8,0,0,0,0,4.8
30,585,5613,626827,0,0,VILLAGE,Vantem,Rural,592.63,1678,,D,Birondem,2016.11,4101,0,6.24,56.58,0,400.94,39.37,9.5,10.9,69.1,34.34,34.76,30.76,0,0,0,4
30,585,5609,626642,0,0,VILLAGE,Varconda,Rural,1126.9,2208,,C,Varconda,1126.9,2208,0,189.28,0,0,0,354.51,0,0,583.11,493.47,89.64,0,0,0,0,89.64
30,585,5613,626822,0,0,VILLAGE,Velguem,Rural,324.24,1310,,D,Cotorem,3993.35,4102,261.76,9.78,29.98,0,7.05,126.3,17.1,11.07,189.31,166.93,22.38,11.3,0,2.02,0,9.06
30,585,5612,626762,0,0,VILLAGE,Velguem,Rural,652.35,2617,,C,Velguem,324.24,2617,110.52,12,71,31.72,22,13,16,10,38,31,7,0,4,3,0,0
30,586,5616,626921,0,0,VILLAGE,Velim,Rural,814,5955,,B,Velim,814,5955,0,214,0,0,0,73,0,0,527,435,92,92,0,0,0,0
30,585,5614,626854,0,0,VILLAGE,Velinga,Rural,315,1921,,D,Velinga-Priol-Cuncoliem,2224,11470,0,0,0,0,0,48,90,0,177,113,64,0,30,34,0,0
30,586,5615,626882,0,0,VILLAGE,Velsao,Rural,161.83,1520,,D,Velsao,676,4351,0,62.83,0,0,0,4,7,0,88,66,22,0,15,7,0,0
30,585,5610,626676,0,0,VILLAGE,Verla,Rural,354.35,3685,,C,"Verla,",435.44,7236,5.32,3.67,17.71,0,32.09,55.18,134.75,0,105.63,92.31,13.32,0,13.32,0,0,0
30,586,5618,627020,0,0,VILLAGE,Verlem,Rural,5413,568,,D,Netorli,11179,3552,366,1044.3,0,0,0,3926.69,0,0,76.01,70,6.01,0,1,0,0,5.01
30,586,5618,627016,0,0,VILLAGE,Vichundrem,Rural,911,775,,D,Netorli,11179,3552,623.2,10.8,0,0,0,73,0,0,204,195,9,0,1,2,0,6
30,586,5618,627008,0,0,VILLAGE,Viliena,Rural,406,540,,D,Bati,12894,3283,162,12,0,0,47,0,0,0,185,160,25,0,0,0,0,25
30,585,5609,626654,0,0,VILLAGE,Virnora,Rural,389.04,1386,,D,Virnora Pernem(R),2208.55,6639,0,100.67,0,0,0,71.5,0,0,216.87,174.59,42.28,0,0,0,0,42.28
30,585,5614,626845,0,0,VILLAGE,Volvoi,Rural,135.14,1842,,D,Volvoi,135.14,1842,0,0,0,0,0,7.54,38.29,0,89.31,64.36,24.95,0,0,24.95,0,0
30,585,5613,626794,0,0,VILLAGE,Xelopo-Buzruco,Rural,192.3,244,,D,Nagargaon,10172.57,4652,41.23,1.43,0.66,0,0,27.08,6.64,4.85,110.41,93.67,16.74,8.47,3.81,0,0,4.46
30,585,5613,626833,0,0,VILLAGE,Xelopo-Curdo,Rural,451.87,252,,D,Cotorem,3993.35,4102,155.83,3.04,52.4,0,39.1,0,19.23,22.17,160.1,160.1,0,0,0,0,0,0
30,586,5618,627001,0,0,VILLAGE,Xelpem,Rural,451,255,,D,Uguem,6309,4733,98.3,214,0,0,0,55.7,0,0,83,78,5,2,0,0,0,3
30,586,5617,626936,0,0,VILLAGE,Xelvona,Rural,213,1725,,D,Assolda,740,3676,0,67,0,0,0,40.5,0,0,105.5,75,30.5,20,0,0,0,10.5
30,586,5617,626935,0,0,VILLAGE,Xic-Xelvona,Rural,115,125,,D,Assolda,740,3676,0,19.5,0,0,0,20.5,0,0,75,50,25,17,0,0,0,8
30,586,5617,626943,0,0,VILLAGE,Zanodem,Rural,365,272,,D,Molcornem,2373,2887,0,27.8,0,0,0,72.2,0,0,265,240,25,0,15,0,0,10
30,585,5613,626799,0,0,VILLAGE,Zarani,Rural,771.78,0,,D,Nagargaon,10172.57,4652,722.62,0,37.85,0,0,0,0.35,0.2,10.76,10.76,0,0,0,0,0,0
